metric,value
best_val_loss,0.38010522723197937
final_val_loss,0.46297261118888855
best_val_r2,0.6225994229316711
final_val_r2,0.5402397513389587
test_loss,0.3820030391216278
test_r2,0.6196259260177612
checkpoint_path,/data/models/transformer/xformer_rep_01/lightning_logs/version_0/checkpoints/best-epoch=026-val_loss=0.3801.ckpt
best_val_r2_23C,0.63568115234375
best_val_r2_25C,0.6420211791992188
best_val_r2_27C,0.6508911848068237
best_val_r2_30C,0.6320649981498718
best_val_r2_33C,0.6471794843673706
best_val_r2_35C,0.6013646125793457
best_val_r2_37C,0.6128665804862976
best_val_r2_cu,0.6110026836395264
best_val_r2_suloc,0.6312395334243774
best_val_r2_ynb,0.5158958435058594
best_val_r2_eth,0.6023463010787964
best_val_r2_gu,0.5719858407974243
best_val_r2_li,0.6455731987953186
best_val_r2_mann,0.6106306314468384
best_val_r2_mol,0.6476068496704102
best_val_r2_raff,0.6667349338531494
best_val_r2_sds,0.6526468396186829
best_val_r2_4NQO,0.629056990146637
test_r2_23C,0.636881947517395
test_r2_25C,0.6477053761482239
test_r2_27C,0.6571948528289795
test_r2_30C,0.6395421028137207
test_r2_33C,0.646651029586792
test_r2_35C,0.6035220623016357
test_r2_37C,0.5983959436416626
test_r2_cu,0.6281030178070068
test_r2_suloc,0.6462934017181396
test_r2_ynb,0.49690884351730347
test_r2_eth,0.612062931060791
test_r2_gu,0.5603470206260681
test_r2_li,0.6350899934768677
test_r2_mann,0.6108970642089844
test_r2_mol,0.6177712678909302
test_r2_raff,0.6528142690658569
test_r2_sds,0.6451055407524109
test_r2_4NQO,0.6179800033569336
