metric,value
best_val_loss,0.384769469499588
final_val_loss,0.4028434455394745
best_val_r2,0.6178471446037292
final_val_r2,0.5999153256416321
test_loss,0.38827669620513916
test_r2,0.6132968068122864
checkpoint_path,/data/models/canonical/std_d128_rep_04/lightning_logs/version_0/checkpoints/best-epoch=062-val_loss=0.3848.ckpt
best_val_r2_23C,0.6428422927856445
best_val_r2_25C,0.648643970489502
best_val_r2_27C,0.6546459197998047
best_val_r2_30C,0.6398642063140869
best_val_r2_33C,0.6495839357376099
best_val_r2_35C,0.5927283763885498
best_val_r2_37C,0.60369873046875
best_val_r2_cu,0.6121535301208496
best_val_r2_suloc,0.6221032738685608
best_val_r2_ynb,0.5014834403991699
best_val_r2_eth,0.6031590700149536
best_val_r2_gu,0.5583299398422241
best_val_r2_li,0.6367453336715698
best_val_r2_mann,0.6030194759368896
best_val_r2_mol,0.6133698225021362
best_val_r2_raff,0.6713441610336304
best_val_r2_sds,0.6507766246795654
best_val_r2_4NQO,0.6167563199996948
test_r2_23C,0.6355530023574829
test_r2_25C,0.6476327776908875
test_r2_27C,0.6532674431800842
test_r2_30C,0.6418487429618835
test_r2_33C,0.6430667042732239
test_r2_35C,0.5921053886413574
test_r2_37C,0.5863001346588135
test_r2_cu,0.6262547969818115
test_r2_suloc,0.6434804201126099
test_r2_ynb,0.48732632398605347
test_r2_eth,0.6122137308120728
test_r2_gu,0.5442788600921631
test_r2_li,0.6288092136383057
test_r2_mann,0.5956138968467712
test_r2_mol,0.5931954383850098
test_r2_raff,0.6549711227416992
test_r2_sds,0.6425732970237732
test_r2_4NQO,0.6108518242835999
