metric,value
best_val_loss,0.3811366856098175
final_val_loss,0.46709150075912476
best_val_r2,0.6215120553970337
final_val_r2,0.5362136960029602
test_loss,0.38343507051467896
test_r2,0.6181621551513672
checkpoint_path,/data/models/transformer/xformer_rep_00/lightning_logs/version_0/checkpoints/best-epoch=021-val_loss=0.3811.ckpt
best_val_r2_23C,0.6328717470169067
best_val_r2_25C,0.6404287815093994
best_val_r2_27C,0.6470881700515747
best_val_r2_30C,0.6326079964637756
best_val_r2_33C,0.6508339047431946
best_val_r2_35C,0.6028203964233398
best_val_r2_37C,0.6164177656173706
best_val_r2_cu,0.6105909943580627
best_val_r2_suloc,0.6281424164772034
best_val_r2_ynb,0.5181334614753723
best_val_r2_eth,0.5987868309020996
best_val_r2_gu,0.5783907175064087
best_val_r2_li,0.6417846083641052
best_val_r2_mann,0.6084233522415161
best_val_r2_mol,0.6263654828071594
best_val_r2_raff,0.6722046136856079
best_val_r2_sds,0.6505672931671143
best_val_r2_4NQO,0.6307584047317505
test_r2_23C,0.6333400011062622
test_r2_25C,0.6437709927558899
test_r2_27C,0.6521786451339722
test_r2_30C,0.6377489566802979
test_r2_33C,0.6464834809303284
test_r2_35C,0.6079272031784058
test_r2_37C,0.6023268699645996
test_r2_cu,0.6262805461883545
test_r2_suloc,0.6446210741996765
test_r2_ynb,0.4953348636627197
test_r2_eth,0.6095503568649292
test_r2_gu,0.5602737665176392
test_r2_li,0.6296887397766113
test_r2_mann,0.6072648763656616
test_r2_mol,0.5965861082077026
test_r2_raff,0.6617672443389893
test_r2_sds,0.6438709497451782
test_r2_4NQO,0.6279043555259705
