metric,value
best_val_loss,0.3883306384086609
final_val_loss,0.41277971863746643
best_val_r2,0.6143113970756531
final_val_r2,0.5901660919189453
test_loss,0.38942399621009827
test_r2,0.6121034622192383
checkpoint_path,/data/models/canonical/std_d128_rep_00/lightning_logs/version_0/checkpoints/best-epoch=054-val_loss=0.3883.ckpt
best_val_r2_23C,0.6336643099784851
best_val_r2_25C,0.6398706436157227
best_val_r2_27C,0.646821141242981
best_val_r2_30C,0.6321185827255249
best_val_r2_33C,0.6469292044639587
best_val_r2_35C,0.5915825366973877
best_val_r2_37C,0.604538083076477
best_val_r2_cu,0.611862301826477
best_val_r2_suloc,0.6131783723831177
best_val_r2_ynb,0.503456175327301
best_val_r2_eth,0.5999755859375
best_val_r2_gu,0.5555750727653503
best_val_r2_li,0.6428159475326538
best_val_r2_mann,0.6012774705886841
best_val_r2_mol,0.604063868522644
best_val_r2_raff,0.6704347133636475
best_val_r2_sds,0.6475791931152344
best_val_r2_4NQO,0.6118611693382263
test_r2_23C,0.6306357979774475
test_r2_25C,0.6416325569152832
test_r2_27C,0.651551365852356
test_r2_30C,0.6393752098083496
test_r2_33C,0.6451848745346069
test_r2_35C,0.5957672595977783
test_r2_37C,0.5899156928062439
test_r2_cu,0.628254234790802
test_r2_suloc,0.6366987228393555
test_r2_ynb,0.4868892431259155
test_r2_eth,0.609999418258667
test_r2_gu,0.541076123714447
test_r2_li,0.6294999718666077
test_r2_mann,0.595024585723877
test_r2_mol,0.5850133895874023
test_r2_raff,0.6604040861129761
test_r2_sds,0.6445021033287048
test_r2_4NQO,0.6064382791519165
