metric,value
best_val_loss,0.3803245723247528
final_val_loss,0.4401831328868866
best_val_r2,0.622433066368103
final_val_r2,0.5627837181091309
test_loss,0.38156890869140625
test_r2,0.6200653314590454
checkpoint_path,/data/models/transformer/xformer_rep_02/lightning_logs/version_0/checkpoints/best-epoch=029-val_loss=0.3803.ckpt
best_val_r2_23C,0.63615483045578
best_val_r2_25C,0.6397068500518799
best_val_r2_27C,0.6468449234962463
best_val_r2_30C,0.631829023361206
best_val_r2_33C,0.6497778296470642
best_val_r2_35C,0.6038779020309448
best_val_r2_37C,0.6147316694259644
best_val_r2_cu,0.6119019985198975
best_val_r2_suloc,0.6226974725723267
best_val_r2_ynb,0.5243462324142456
best_val_r2_eth,0.5973423719406128
best_val_r2_gu,0.5761434435844421
best_val_r2_li,0.6523739695549011
best_val_r2_mann,0.6069335341453552
best_val_r2_mol,0.6384961605072021
best_val_r2_raff,0.6699365377426147
best_val_r2_sds,0.6520754098892212
best_val_r2_4NQO,0.6286256313323975
test_r2_23C,0.6362769603729248
test_r2_25C,0.6462057828903198
test_r2_27C,0.6534956693649292
test_r2_30C,0.6391270160675049
test_r2_33C,0.6479998826980591
test_r2_35C,0.6075904369354248
test_r2_37C,0.602586030960083
test_r2_cu,0.6230921745300293
test_r2_suloc,0.6413122415542603
test_r2_ynb,0.5062220692634583
test_r2_eth,0.6078274846076965
test_r2_gu,0.5646802186965942
test_r2_li,0.6404659152030945
test_r2_mann,0.5974633693695068
test_r2_mol,0.6161171197891235
test_r2_raff,0.6632902026176453
test_r2_sds,0.6477479934692383
test_r2_4NQO,0.61967533826828
